bash 4.4.023-1
coreutils 8.30-1
diffutils 3.7-1
findutils 4.6.0-1
gawk 4.2.1-1
gcc-libs 7.4.0-1
git-extra 1.1.336.cef9ac0-1
gmp 6.1.2-1
grep 3.1-1
heimdal-libs 7.5.0-3
libcrypt 2.1-2
libiconv 1.15-1
libintl 0.19.8.1-1
libopenssl 1.1.1.a-3
libpcre 8.42-1
libreadline 7.0.005-1
libsqlite 3.21.0-4
mingw-w64-x86_64-ca-certificates 20180409-1
mingw-w64-x86_64-curl 7.64.0-2
mingw-w64-x86_64-expat 2.2.6-1
mingw-w64-x86_64-gcc-libs 7.3.0-2
mingw-w64-x86_64-gettext 0.19.8.1-7
mingw-w64-x86_64-git 2.21.0.1.2481c4cbe9-1
mingw-w64-x86_64-git-credential-manager 1.18.4.0-1
mingw-w64-x86_64-gmp 6.1.2-1
mingw-w64-x86_64-jansson 2.12-1
mingw-w64-x86_64-jemalloc 5.1.0-3
mingw-w64-x86_64-libffi 3.2.1-4
mingw-w64-x86_64-libiconv 1.15-3
mingw-w64-x86_64-libidn2 2.1.1a-1
mingw-w64-x86_64-libmetalink 0.1.3-3
mingw-w64-x86_64-libssh2 1.8.0-3
mingw-w64-x86_64-libtasn1 4.13-1
mingw-w64-x86_64-libunistring 0.9.10-1
mingw-w64-x86_64-libwinpthread-git 7.0.0.5273.3e5acf5d-1
mingw-w64-x86_64-mpc 1.1.0-1
mingw-w64-x86_64-mpfr 4.0.2-2
mingw-w64-x86_64-nghttp2 1.36.0-1
mingw-w64-x86_64-openssl 1.1.1.a-1
mingw-w64-x86_64-pcre2 10.23-1
mingw-w64-x86_64-zlib 1.2.11-5
mpfr 4.0.2-1
msys2-runtime 2.11.2-1
ncurses 6.1.20180908-1
openssh 7.9p1-3
openssl 1.1.1.a-3
sed 4.7-1
zlib 1.2.11-1
filesystem 2018.12-1
dash 0.5.10.2-1
rebase 4.4.4-1
