apr 1.7.0-1
apr-util 1.6.1-1
bash 4.4.023-1
bzip2 1.0.8-2
ca-certificates 20190110-1
coreutils 8.32-1
diffutils 3.7-1
docx2txt 1.4-1
dos2unix 7.4.2-1
expat 2.2.10-1
file 5.39-2
findutils 4.7.0-1
gawk 5.0.0-1
gcc-libs 10.2.0-1
gettext 0.19.8.1-1
git-extra 1.1.510.3dbe7d2-1
git-flow 1.12.3-1
glib2 2.66.4-1
gmp 6.2.1-1
gnupg 2.2.25-1
grep 3.1-1
gzip 1.10-1
heimdal-libs 7.5.0-3
icu 67.1-1
less 563-2
libasprintf 0.19.8.1-1
libassuan 2.5.4-1
libbz2 1.0.8-2
libcbor 0.8.0-1
libcrypt 2.1-2
libcurl 7.74.0-1
libedit 20191231_3.1-2
libexpat 2.2.10-1
libffi 3.3-1
libfido2 1.5.0-1
libgcrypt 1.8.7-1
libgettextpo 0.19.8.1-1
libgnutls 3.6.15-1
libgpg-error 1.39-1
libhogweed 3.6-1
libiconv 1.16-2
libidn2 2.3.0-1
libintl 0.19.8.1-1
libksba 1.4.0-1
liblz4 1.9.3-1
liblzma 5.2.5-1
libmetalink 0.1.3-3
libnettle 3.6-1
libnghttp2 1.41.0-1
libnpth 1.6-1
libopenssl 1.1.1.i-1
libp11-kit 0.23.21-1
libpcre 8.44-1
libpcre2_8 10.36-1
libpsl 0.21.1-2
libreadline 8.1.0-1
libsasl 2.1.27-1
libserf 1.3.9-5
libsqlite 3.34.0-1
libssh2 1.9.0-1
libtasn1 4.16.0-1
libunistring 0.9.10-1
libutil-linux 2.35.2-1
libxml2 2.9.10-6
libxslt 1.1.34-3
mingw-w64-x86_64-antiword 0.37-2
mingw-w64-x86_64-brotli 1.0.9-2
mingw-w64-x86_64-bzip2 1.0.8-2
mingw-w64-x86_64-ca-certificates 20200601-2
mingw-w64-x86_64-c-ares 1.16.1-1
mingw-w64-x86_64-connect 1.105-2
mingw-w64-x86_64-curl 7.74.0-1
mingw-w64-x86_64-expat 2.2.10-1
mingw-w64-x86_64-gcc-libs 10.2.0-6
