apr 1.7.0-1
mingw-w64-x86_64-gettext 0.19.8.1-10
mingw-w64-x86_64-git 2.30.0.1.18da6dbba9-1
mingw-w64-x86_64-git-credential-manager 1.20.0-1
mingw-w64-x86_64-git-credential-manager-core 2.0.289.48418-1
mingw-w64-x86_64-git-doc-html 2.30.0.1.18da6dbba9-1
mingw-w64-x86_64-git-lfs 2.13.1-1
mingw-w64-x86_64-gmp 6.2.0-3
mingw-w64-x86_64-gnutls 3.6.15-2
mingw-w64-x86_64-jansson 2.13.1-1
mingw-w64-x86_64-jemalloc 5.2.1-1
mingw-w64-x86_64-libffi 3.3-2
mingw-w64-x86_64-libiconv 1.16-2
mingw-w64-x86_64-libidn2 2.3.0-1
mingw-w64-x86_64-libmetalink 0.1.3-3
mingw-w64-x86_64-libssh2 1.9.0-2
mingw-w64-x86_64-libsystre 1.0.1-4
mingw-w64-x86_64-libtasn1 4.16.0-1
mingw-w64-x86_64-libtre-git r128.6fb7206-2
mingw-w64-x86_64-libunistring 0.9.10-2
mingw-w64-x86_64-libwinpthread-git 9.0.0.6029.ecb4ff54-1
mingw-w64-x86_64-libzip 1.7.3-1
mingw-w64-x86_64-mpc 1.2.0-2
mingw-w64-x86_64-mpfr 4.1.0-3
mingw-w64-x86_64-nettle 3.6-2
mingw-w64-x86_64-nghttp2 1.41.0-1
mingw-w64-x86_64-odt2txt 0.5-2
mingw-w64-x86_64-openssl 1.1.1.i-1
mingw-w64-x86_64-pcre 8.44-2
mingw-w64-x86_64-pcre2 10.33-1
mingw-w64-x86_64-tcl 8.6.10-1
mingw-w64-x86_64-tk 8.6.10-2
mingw-w64-x86_64-wineditline 2.205-3
mingw-w64-x86_64-wintoast 1.0.0.181.9b0663d-1
mingw-w64-x86_64-xz 5.2.5-2
mingw-w64-x86_64-zlib 1.2.11-8
mingw-w64-x86_64-zstd 1.4.5-1
mintty 1~3.4.4-1
mpfr 4.1.0-1
msys2-runtime 3.1.7-4
nano 5.4-1
ncurses 6.2-1
nettle 3.6-1
openssh 8.4p1-2
openssl 1.1.1.i-1
p11-kit 0.23.21-1
patch 2.7.6-1
perl 5.32.0-2
perl-Authen-SASL 2.16-2
perl-Clone 0.45-2
perl-Convert-BinHex 1.125-1
perl-Encode-Locale 1.05-1
perl-Error 0.17029-1
perl-File-Listing 6.14-1
perl-HTML-Parser 3.72-4
perl-HTML-Tagset 3.20-2
perl-HTTP-Cookies 6.09-1
perl-HTTP-Daemon 6.12-1
perl-HTTP-Date 6.05-1
perl-HTTP-Message 6.26-1
perl-HTTP-Negotiate 6.01-2
perl-IO-HTML 1.004-1
perl-IO-Socket-SSL 2.068-1
perl-IO-Stringy 2.113-1
perl-JSON 4.02-1
perl-libwww 6.50-1
perl-LWP-MediaTypes 6.04-1
perl-MailTools 2.21-1
perl-MIME-tools 5.509-1
perl-Net-HTTP 6.19-1
perl-Net-SMTP-SSL 1.04-1
perl-Net-SSLeay 1.88-4
perl-TermReadKey 2.38-4
perl-TimeDate 2.33-1
perl-Try-Tiny 0.30-1
perl-URI 5.05-1
perl-WWW-RobotRules 6.02-2
pinentry 1.1.0-2
sed 4.8-1
ssh-pageant-git 1.4.12.g6f47092-1
subversion 1.14.0-3
tar 1.32-1
tcl 8.6.10-1
tig 2.5.1-1
unzip 6.0-2
vim 8.2.1895-1
which 2.21-2
winpty 0.4.3-1
zlib 1.2.11-1
filesystem 2020.10-1
dash 0.5.11.2-1
rebase 4.4.4-2
util-linux 2.35.2-1
unzip 6.0-2
mingw-w64-x86_64-xpdf-tools 4.00-1
